Date,Gold Price Close
1/2/2020,1524.50
1/3/2020,1549.20
1/5/2020,1571.30
1/6/2020,1566.20
1/7/2020,1571.80
1/8/2020,1557.40
1/9/2020,1551.70
1/10/2020,1557.50
1/12/2020,1559.90
1/13/2020,1548.40
1/14/2020,1542.40
1/15/2020,1552.10
1/16/2020,1549.00
1/17/2020,1558.80
1/19/2020,1557.30
1/21/2020,1556.40
1/22/2020,1555.30
1/23/2020,1564.60
1/24/2020,1571.10
1/26/2020,1582.30
1/27/2020,1576.80
1/28/2020,1569.20
1/29/2020,1569.80
1/30/2020,1583.50
1/31/2020,1582.90
2/2/2020,1593.50
2/3/2020,1577.20
2/4/2020,1550.40
2/5/2020,1557.80
2/6/2020,1565.10
2/7/2020,1568.60
2/9/2020,1577.30
2/10/2020,1574.70
2/11/2020,1565.60
2/12/2020,1567.40
2/13/2020,1575.10
2/14/2020,1582.70
2/16/2020,1585.80
2/18/2020,1600.00
2/19/2020,1607.50
2/20/2020,1616.60
2/21/2020,1644.60
2/23/2020,1667.50
2/24/2020,1672.40
2/25/2020,1646.90
2/26/2020,1640.00
2/27/2020,1643.10
2/28/2020,1642.50
3/1/2020,1564.10
3/2/2020,1566.70
3/3/2020,1594.80
3/4/2020,1644.40
3/5/2020,1643.00
3/6/2020,1668.00
3/8/2020,1670.80
3/9/2020,1672.40
3/10/2020,1675.70
3/11/2020,1660.30
3/12/2020,1642.30
3/13/2020,1590.30
3/15/2020,1515.70
3/16/2020,1516.70
3/17/2020,1486.50
3/18/2020,1525.80
3/19/2020,1477.90
3/20/2020,1479.30
3/22/2020,1495.60
3/23/2020,1575.70
3/24/2020,1696.10
3/25/2020,1638.10
3/26/2020,1636.60
3/27/2020,1630.60
3/29/2020,1664.20
3/30/2020,1637.20
3/31/2020,1592.40
4/1/2020,1605.20
4/2/2020,1637.70
4/3/2020,1648.80
4/6/2020,1730.70
4/7/2020,1693.90
4/8/2020,1680.70
4/9/2020,1740.60
4/12/2020,1738.20
4/13/2020,1769.40
4/14/2020,1751.30
4/15/2020,1743.30
4/16/2020,1730.10
4/17/2020,1694.50
4/19/2020,1690.20
4/20/2020,1707.70
4/21/2020,1706.00
4/22/2020,1687.80
4/23/2020,1747.60
4/24/2020,1745.70
4/26/2020,1741.40
4/27/2020,1720.30
4/28/2020,1721.00
4/29/2020,1722.20
4/30/2020,1713.40
5/1/2020,1694.20
5/3/2020,1706.40
5/4/2020,1700.90
5/5/2020,1705.10
