OrderLineID,OrderID,CustomerID,SalespersonPersonID,OrderDate,ProductItemID,Quantity,UnitPrice
201511,63968,1045,3,1/1/2020,24,8,13
201512,63968,1045,3,1/1/2020,81,108,18
201513,63968,1045,3,1/1/2020,194,96,4
201514,63968,1045,3,1/1/2020,151,7,16
201515,63969,92,13,1/1/2020,147,48,18
201516,63969,92,13,1/1/2020,7,6,32
201517,63969,92,13,1/1/2020,106,7,35
201518,63970,492,6,1/1/2020,157,50,30
201519,63970,492,6,1/1/2020,110,3,25
201520,63970,492,6,1/1/2020,142,72,18
201521,63970,492,6,1/1/2020,116,5,34
201522,63971,443,13,1/1/2020,7,10,32
201523,63971,443,13,1/1/2020,131,2,32
201524,63971,443,13,1/1/2020,176,4,240
201525,63971,443,13,1/1/2020,178,75,3
201526,63972,846,8,1/1/2020,15,9,240
201527,63972,846,8,1/1/2020,109,8,25
201528,63972,846,8,1/1/2020,70,4,230
201529,63972,846,8,1/1/2020,3,30,19
201530,63972,846,8,1/1/2020,176,5,240
201531,63973,75,14,1/1/2020,74,10,285
201532,63973,75,14,1/1/2020,31,5,13
201533,63973,75,14,1/1/2020,64,6,30
201534,63973,75,14,1/1/2020,39,6,13
201535,63973,75,14,1/1/2020,189,234,3
201536,63974,893,2,1/1/2020,42,5,13
201537,63974,893,2,1/1/2020,166,70,42
201538,63975,181,20,1/1/2020,211,20,4
201539,63975,181,20,1/1/2020,65,6,30
201540,63975,181,20,1/1/2020,44,9,13
201541,63975,181,20,1/1/2020,14,8,32
201542,63976,808,3,1/1/2020,186,25,2
201543,63976,808,3,1/1/2020,168,30,29
201544,63977,977,7,1/1/2020,61,4,25
201545,63977,977,7,1/1/2020,147,60,18
201546,63978,574,13,1/1/2020,21,4,13
201547,63978,574,13,1/1/2020,164,90,112
201548,63979,548,16,1/1/2020,203,90,32
201549,63979,548,16,1/1/2020,103,2,35
201550,63979,548,16,1/1/2020,188,50,1
201551,63979,548,16,1/1/2020,85,108,18
201552,63980,499,15,1/1/2020,183,100,3
201553,63980,499,15,1/1/2020,139,72,5
201554,63980,499,15,1/1/2020,145,120,18
201555,63981,14,20,1/1/2020,113,10,30
201556,63981,14,20,1/1/2020,16,10,13
201557,63982,449,16,1/1/2020,139,36,5
201558,63982,449,16,1/1/2020,49,5,13
201559,63982,449,16,1/1/2020,68,10,230
201560,63982,449,16,1/1/2020,143,108,18
201561,63982,449,16,1/1/2020,183,100,3
201562,63983,460,3,1/1/2020,165,10,26
201563,64010,460,3,1/1/2020,184,100,4
201564,63984,96,6,1/1/2020,162,80,22
201565,63984,96,6,1/1/2020,31,3,13
201566,63984,96,6,1/1/2020,144,36,18
201567,63984,96,6,1/1/2020,141,72,5
201568,63985,894,14,1/1/2020,66,3,45
201569,63985,894,14,1/1/2020,189,104,3
201570,63985,894,14,1/1/2020,51,3,13
201571,63985,894,14,1/1/2020,128,6,32
201572,63986,64,6,1/1/2020,189,208,3
201573,63986,64,6,1/1/2020,50,8,13
201574,63986,64,6,1/1/2020,39,7,13
201575,63986,64,6,1/1/2020,54,8,13
201576,63987,822,2,1/1/2020,41,6,13
201577,63987,822,2,1/1/2020,5,7,32
201578,63988,601,8,1/1/2020,123,2,32
201579,63988,601,8,1/1/2020,84,48,18
201580,63988,601,8,1/1/2020,115,1,34
201581,63988,601,8,1/1/2020,179,125,1
201582,63989,26,8,1/1/2020,46,2,13
201583,63989,26,8,1/1/2020,146,108,18
201584,63989,26,8,1/1/2020,110,7,25
201585,63990,922,7,1/1/2020,60,5,25
201586,63990,922,7,1/1/2020,211,80,4
201587,63990,922,7,1/1/2020,27,2,13
201588,63991,17,14,1/1/2020,26,8,13
201589,63991,17,14,1/1/2020,20,10,13
201590,63991,17,14,1/1/2020,9,8,32
201591,63992,599,3,1/1/2020,160,10,33
201592,63992,599,3,1/1/2020,66,7,45
201593,63992,599,3,1/1/2020,153,30,5
201594,63993,879,15,1/1/2020,6,4,32
201595,63993,879,15,1/1/2020,198,144,4
201596,63993,879,15,1/1/2020,88,36,18
201597,63993,879,15,1/1/2020,80,12,18
201598,63993,879,15,1/1/2020,153,80,5
201599,63994,568,16,1/1/2020,152,4,16
201600,63994,568,16,1/1/2020,153,70,5
201601,63994,568,16,1/1/2020,57,5,13
201602,64011,568,16,1/1/2020,193,168,4
201603,63994,568,16,1/1/2020,166,50,42
201604,63995,582,8,1/1/2020,90,108,18
201605,63995,582,8,1/1/2020,200,192,4
201606,63995,582,8,1/1/2020,178,50,3
201607,63995,582,8,1/1/2020,124,9,32
201608,63995,582,8,1/1/2020,147,48,18
201609,63996,104,16,1/1/2020,104,5,35
201610,63996,104,16,1/1/2020,84,24,18
201611,64012,593,14,1/1/2020,204,70,32
201612,63997,593,14,1/1/2020,49,4,13
201613,63998,80,6,1/1/2020,131,4,32
201614,63998,80,6,1/1/2020,63,1,25
201615,63998,80,6,1/1/2020,60,5,25
201616,63998,80,6,1/1/2020,165,60,26
201617,63998,80,6,1/1/2020,139,24,5
201618,63999,71,7,1/1/2020,81,84,18
201619,63999,71,7,1/1/2020,168,20,29
201620,63999,71,7,1/1/2020,145,72,18
201621,63999,71,7,1/1/2020,206,48,3
201622,64000,522,20,1/1/2020,153,70,5
201623,64013,522,20,1/1/2020,95,108,18
201624,64001,147,8,1/1/2020,123,8,32
201625,64001,147,8,1/1/2020,38,2,13
201626,64001,147,8,1/1/2020,25,8,13
201627,64014,147,8,1/1/2020,86,72,18
201628,64001,147,8,1/1/2020,178,200,3
201629,64002,170,14,1/1/2020,219,100,50
201630,64015,170,14,1/1/2020,77,12,18
201631,64003,60,3,1/1/2020,75,2,345
201632,64003,60,3,1/1/2020,49,7,13
201633,64004,932,20,1/1/2020,152,7,16
201634,64004,932,20,1/1/2020,157,10,30
201635,64005,30,6,1/1/2020,5,10,32
201636,64005,30,6,1/1/2020,200,168,4
201637,64005,30,6,1/1/2020,165,20,26
201638,64005,30,6,1/1/2020,163,70,37
201639,64005,30,6,1/1/2020,9,5,32
201640,64006,464,16,1/1/2020,20,1,13
201641,64006,464,16,1/1/2020,160,70,33
201642,64007,488,8,1/1/2020,196,72,4
201643,64007,488,8,1/1/2020,64,3,30
201644,64007,488,8,1/1/2020,43,4,13
201645,64007,488,8,1/1/2020,84,48,18
201646,64008,845,15,1/1/2020,199,192,4
201647,64008,845,15,1/1/2020,187,175,1
201648,64008,845,15,1/1/2020,2,2,25
201649,64008,845,15,1/1/2020,49,3,13
201650,64016,988,3,1/2/2020,132,4,32
201651,64016,988,3,1/2/2020,173,60,105
201652,64016,988,3,1/2/2020,150,3,16
201653,64016,988,3,1/2/2020,22,6,13
201654,64017,532,6,1/2/2020,11,2,32
201655,64017,532,6,1/2/2020,114,2,30
201656,64017,532,6,1/2/2020,194,72,4
201657,64018,51,3,1/2/2020,176,6,240
201658,64018,51,3,1/2/2020,40,3,13
201659,64018,51,3,1/2/2020,96,108,18
201660,64019,1031,13,1/2/2020,198,240,4
201661,64019,1031,13,1/2/2020,179,75,1
201662,64020,516,15,1/2/2020,68,8,230
201663,64020,516,15,1/2/2020,103,3,35
201664,64020,516,15,1/2/2020,42,7,13
201665,64020,516,15,1/2/2020,79,120,18
201666,64020,516,15,1/2/2020,75,5,345
201667,64021,167,3,1/2/2020,201,96,4
201668,64021,167,3,1/2/2020,167,40,99
201669,64021,167,3,1/2/2020,210,35,2
201670,64021,167,3,1/2/2020,26,7,13
201671,64021,167,3,1/2/2020,52,5,13
201672,64022,1045,2,1/2/2020,116,7,34
201673,64022,1045,2,1/2/2020,144,60,18
201674,64022,1045,2,1/2/2020,202,240,4
201675,64022,1045,2,1/2/2020,183,200,3
201676,64023,87,7,1/2/2020,31,1,13
201677,64023,87,7,1/2/2020,95,36,18
201678,64023,87,7,1/2/2020,161,90,108
201679,64023,87,7,1/2/2020,189,26,3
201680,64024,863,3,1/2/2020,56,2,13
201681,64024,863,3,1/2/2020,131,6,32
201682,64024,863,3,1/2/2020,28,7,13
201683,64024,863,3,1/2/2020,6,10,32
201684,64024,863,3,1/2/2020,118,9,32
201685,64025,26,2,1/2/2020,55,5,13
201686,64025,26,2,1/2/2020,39,10,13
201687,64025,26,2,1/2/2020,58,7,25
201688,64025,26,2,1/2/2020,175,9,240
201689,64025,26,2,1/2/2020,64,10,30
201690,64026,838,6,1/2/2020,52,7,13
201691,64026,838,6,1/2/2020,188,50,1
201692,64026,838,6,1/2/2020,192,36,4
201693,64027,813,13,1/2/2020,153,60,5
201694,64027,813,13,1/2/2020,11,2,32
201695,64062,823,16,1/2/2020,193,24,4
201696,64028,823,16,1/2/2020,202,216,4
201697,64028,823,16,1/2/2020,167,40,99
201698,64028,823,16,1/2/2020,160,40,33
201699,64028,823,16,1/2/2020,93,72,18
201700,64029,938,8,1/2/2020,20,10,13
201701,64029,938,8,1/2/2020,170,40,102
201702,64029,938,8,1/2/2020,61,6,25
201703,64029,938,8,1/2/2020,106,10,35
201704,64030,804,16,1/2/2020,150,1,16
201705,64030,804,16,1/2/2020,40,6,13
201706,64030,804,16,1/2/2020,160,60,33
201707,64031,1042,13,1/2/2020,217,20,25
201708,64031,1042,13,1/2/2020,192,216,4
201709,64032,103,13,1/2/2020,61,10,25
201710,64032,103,13,1/2/2020,99,24,18
201711,64032,103,13,1/2/2020,167,50,99
201712,64032,103,13,1/2/2020,130,9,32
201713,64033,416,6,1/2/2020,219,70,50
201714,64033,416,6,1/2/2020,97,36,18
201715,64034,1056,2,1/2/2020,207,84,3
201716,64034,1056,2,1/2/2020,26,6,13
201717,64034,1056,2,1/2/2020,47,10,13
201718,64034,1056,2,1/2/2020,195,168,4
201719,64035,972,6,1/2/2020,161,90,108
201720,64035,972,6,1/2/2020,14,4,32
201721,64036,518,16,1/2/2020,178,175,3
201722,64036,518,16,1/2/2020,6,7,32
201723,64036,518,16,1/2/2020,61,3,25
201724,64036,518,16,1/2/2020,179,125,1
201725,64037,423,6,1/2/2020,113,4,30
201726,64063,423,6,1/2/2020,98,96,18
201727,64037,423,6,1/2/2020,62,10,25
201728,64037,423,6,1/2/2020,21,8,13
201729,64064,946,20,1/2/2020,80,108,18
201730,64038,946,20,1/2/2020,93,120,18
201731,64038,946,20,1/2/2020,123,7,32
201732,64038,946,20,1/2/2020,220,48,9
201733,64038,946,20,1/2/2020,20,5,13
201734,64039,32,15,1/2/2020,11,6,32
201735,64039,32,15,1/2/2020,64,9,30
201736,64039,32,15,1/2/2020,197,216,4
201737,64039,32,15,1/2/2020,72,8,230
201738,64040,448,13,1/2/2020,82,108,18
201739,64040,448,13,1/2/2020,1,7,25
201740,64040,448,13,1/2/2020,28,9,13
201741,64040,448,13,1/2/2020,131,3,32
201742,64041,1012,13,1/2/2020,215,8,1899
201743,64041,1012,13,1/2/2020,9,8,32
201744,64041,1012,13,1/2/2020,201,216,4
201745,64041,1012,13,1/2/2020,68,6,230
201746,64041,1012,13,1/2/2020,211,40,4
201747,64042,25,16,1/2/2020,167,70,99
201748,64042,25,16,1/2/2020,45,5,13
201749,64042,25,16,1/2/2020,43,1,13
201750,64042,25,16,1/2/2020,179,75,1
201751,64043,988,14,1/2/2020,36,5,13
201752,64043,988,14,1/2/2020,7,4,32
201753,64043,988,14,1/2/2020,144,96,18
201754,64043,988,14,1/2/2020,145,120,18
201755,64044,200,2,1/2/2020,82,48,18
201756,64044,200,2,1/2/2020,129,2,32
201757,64044,200,2,1/2/2020,91,12,18
201758,64044,200,2,1/2/2020,47,1,13
201759,64044,200,2,1/2/2020,144,60,18
201760,64045,808,6,1/2/2020,87,84,18
201761,64045,808,6,1/2/2020,82,60,18
201762,64045,808,6,1/2/2020,15,4,240
201763,64045,808,6,1/2/2020,88,60,18
201764,64046,45,7,1/2/2020,6,7,32
201765,64046,45,7,1/2/2020,24,10,13
201766,64046,45,7,1/2/2020,9,4,32
201767,64046,45,7,1/2/2020,212,100,4
201768,64047,477,8,1/2/2020,192,216,4
201769,64047,477,8,1/2/2020,56,1,13
201770,64048,814,2,1/2/2020,88,84,18
201771,64048,814,2,1/2/2020,38,3,13
201772,64048,814,2,1/2/2020,122,1,32
201773,64048,814,2,1/2/2020,79,36,18
201774,64048,814,2,1/2/2020,176,1,240
201775,64049,33,3,1/2/2020,111,9,30
201776,64049,33,3,1/2/2020,182,200,1
